,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-12 464,0,0,0.04,0.24,0.186783,0,1.43631,0,-0.491516,0,0,1.529530086,-2.848431,-1.696088,-1.239448
02-20-12 513,0,0,0,0.12,0.186783,0,1.43631,0,-0.491516,0,0,1.529530086,-2.848431,-1.696088,-1.239448
02-20-12 564,0,0,0,0,0.25528,0.068497,0.568649,0.867661,-0.054276,0.43724,0.974015538,0.625679988,-0.702979,-1.932877,-0.759289
02-20-12 621,0,0,0,0,0.25528,0,0.568649,0,-0.054276,0,0,0.625679988,-0.702979,-1.932877,-0.759289
02-20-12 670,0,0,0,0,0.25528,0,0.568649,0,-0.054276,0,0,0.625679988,-0.702979,-1.932877,-0.759289
02-20-12 718,0,0,0,0,0.25528,0,0.568649,0,-0.054276,0,0,0.625679988,-0.702979,-1.932877,-0.759289
02-20-12 770,0,0,0,0,-0.599014,0.854294,1.2547,0.686051,0.716171,0.770447,1.339430025,1.563966356,0.716673,-0.061255,-0.169935
02-20-12 826,0,0,0,0,-0.599014,0,1.2547,0,0.716171,0,0,1.563966356,0.716673,-0.061255,-0.169935
02-20-12 879,0,0,0,0,-0.599014,0,1.2547,0,0.716171,0,0,1.563966356,0.716673,-0.061255,-0.169935
02-20-12 923,0,0,0,0,-0.599014,0,1.2547,0,0.716171,0,0,1.563966356,0.716673,-0.061255,-0.169935
02-20-12 983,0,0,0,0,-0.449463,0.149551,1.279007,0.024307,-0.244019,0.96019,0.972070557,1.377469116,0.45023,-1.191804,0.344677
02-20-13 031,0,0,0,0,-0.449463,0,1.279007,0,-0.244019,0,0,1.377469116,0.45023,-1.191804,0.344677
02-20-13 082,0,0,0,0,-0.449463,0,1.279007,0,-0.244019,0,0,1.377469116,0.45023,-1.191804,0.344677
02-20-13 134,0,0,0,0,-0.449463,0,1.279007,0,-0.244019,0,0,1.377469116,0.45023,-1.191804,0.344677
02-20-13 188,0,0,0,0,-0.17305,0.276413,0.917435,0.361572,-0.112183,0.131836,0.473834558,0.940328829,0.647887,-0.110292,0.056053
02-20-13 237,0,0,0,0,-0.17305,0,0.917435,0,-0.112183,0,0,0.940328829,0.647887,-0.110292,0.056053
02-20-13 286,0,0,0,0,-0.17305,0,0.917435,0,-0.112183,0,0,0.940328829,0.647887,-0.110292,0.056053
02-20-13 341,0,0,0,0,-0.17305,0,0.917435,0,-0.112183,0,0,0.940328829,0.647887,-0.110292,0.056053
02-20-13 392,0,0,0,0,-0.278473,0.105423,1.169128,0.251693,0.028885,0.141068,0.307186516,1.202182114,0.100345,0.382516,0.314949
02-20-13 441,0,0,0.08,0.12,-0.278473,0,1.169128,0,0.028885,0,0,1.202182114,0.100345,0.382516,0.314949
02-20-13 493,0,0,0.24,0.32,-0.278473,0,1.169128,0,0.028885,0,0,1.202182114,0.100345,0.382516,0.314949
02-20-13 654,0,0,0.2,0.64,0.072144,0.350617,1.079391,0.089737,-0.095001,0.123886,0.38253464,1.08596265,-2.176637,1.541644,-0.487187
